EVENT_DATE,YEAR,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,LOCATION,LATITUDE,LONGITUDE,SOURCE,SOURCE_SCALE,FATALITIES,TIMESTAMP
05-Jan-22,2022,Riots,Mob violence,Rioters (Palestine),,5,Police Forces of Israel (2021-),,8,58,Middle East,Palestine,Umm al Khayr,31.425,35.196,Anadolu Agency; Al-Ittihad; Arab 48; Haaretz; Ma'an News Agency; Dunia Al Watan; Press TV; Palestine News and Information Agency; PCHR: Palestinian Centre for Human Rights; PLO Negotiations Affairs Department,Other-National,1,1643043295
06-Jan-22,2022,Battles,Armed clash,Unidentified Armed Group (Palestine),Refugees/IDPs (Palestine),3,Military Forces of Israel (2021-),,8,38,Middle East,Palestine,Balata,32.212,35.286,Liveuamap; Palestinian News Network; Asharq Al Awsat; Ma'an News Agency; Times of Israel; Al-Ittihad; AP; PLO Negotiations Affairs Department; BBC News; Haaretz; AFP; Palestine News and Information Agency; Twitter; Arab 48,Local partner-New media,1,1644271365
12-Jan-22,2022,Violence against civilians,Attack,Military Forces of Israel (2021-),,8,Civilians (Palestine),,7,78,Middle East,Palestine,Jiljilya,32.033,35.223,Palestine News and Information Agency; Arab 48; Arab News; Haaretz; Al Ghad (Jordan); Ma'an News Agency; PCHR: Palestinian Centre for Human Rights; AFP; Twitter; Anadolu Agency; Liveuamap; BBC News; AP; PLO Negotiations Affairs Department,Local partner-New media,1,1642435615
17-Jan-22,2022,Battles,Armed clash,Unidentified Armed Group (Palestine),,3,Military Forces of Israel (2021-),,8,38,Middle East,Palestine,Gush Etzion,31.669,35.237,Al-Ittihad; Dunia Al Watan; Liveuamap; Jordan News Agency; AFP; Twitter; PLO Negotiations Affairs Department; Anadolu Agency; Arab 48; Xinhua; Palestinian News Network; Palestine News and Information Agency; BBC News; Haaretz; Israeli Defense Forces; Press TV,Local partner-New media,1,1643043295
24-Jan-22,2022,Riots,Mob violence,Rioters (Palestine),Refugees/IDPs (Palestine); Civilians (Palestine),5,Military Forces of Israel (2021-),,8,58,Middle East,Palestine,Al Quds - Mukhayyam Qalandia,31.868,35.228,BBC News; PLO Negotiations Affairs Department; Liveuamap; Palestine News and Information Agency; Dunia Al Watan; Anadolu Agency; Ma'an News Agency; Arab 48; Twitter; PCHR: Palestinian Centre for Human Rights,Local partner-New media,1,1643657314
08-Feb-22,2022,Battles,Armed clash,Military Forces of Israel (2021-),,8,Al Aqsa Martyrs Brigade,,3,38,Middle East,Palestine,Nablus,32.221,35.254,PLO Negotiations Affairs Department; Al Ghad (Jordan); Arab 48; AFP; BBC News; Dunia Al Watan; AP; Ma'an News Agency; Haaretz; Al-Ittihad; PCHR: Palestinian Centre for Human Rights; Anadolu Agency; Palestine News and Information Agency; Press TV; Xinhua,Other-National,3,1644855392
13-Feb-22,2022,Battles,Armed clash,Unidentified Armed Group (Palestine),Rioters (Palestine),3,Military Forces of Israel (2021-),,8,38,Middle East,Palestine,Silat al Harithiyah,32.508,35.228,Palestine News and Information Agency; Al Ghad (Jordan); Haaretz; Arab 48; Times of Israel; Anadolu Agency; PLO Negotiations Affairs Department; BBC News; Ma'an News Agency; Liveuamap; PCHR: Palestinian Centre for Human Rights; Twitter; AFP; Al-Ittihad,Local partner-New media,1,1645466115
15-Feb-22,2022,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2021-),,8,58,Middle East,Palestine,An Nabi Salih,32.016,35.124,Haaretz; AFP; Al-Ittihad; Xinhua; PLO Negotiations Affairs Department; Liveuamap; Press TV; PCHR: Palestinian Centre for Human Rights; Ma'an News Agency; Arab 48; Twitter; Palestine News and Information Agency,Local partner-New media,1,1645466115
22-Feb-22,2022,Riots,Mob violence,Rioters (Palestine),,5,Military Forces of Israel (2021-),,8,58,Middle East,Palestine,Al Khadir,31.694,35.167,Times of Israel; AFP; Twitter; Al Ghad (Jordan); Dunia Al Watan; Palestine News and Information Agency; Ma'an News Agency; Liveuamap; Press TV; PLO Negotiations Affairs Department; Haaretz; PCHR: Palestinian Centre for Human Rights,Local partner-New media,1,1646058913
01-Jan-22,2022,Battles,Armed clash,Military Forces of Iran (1989-) Islamic Revolutionary Guard Corps,,1,Shahbakhsh Baloch Tribal Militia (Iran),,4,14,Middle East,Iran,Shuru,29.152,60.254,FARS News Agency (Iran); Tasnim News Agency; Baloch Campaign; Mehr News Agency; Iran Kargar,Other-New media,9,1641834040
02-Jan-22,2022,Violence against civilians,Attack,Police Forces of Iran (1989-),,1,Civilians (Iran),Baloch Ethnic Group (Iran),7,17,Middle East,Iran,Iranshahr,27.202,60.685,Human Rights Activists in Iran (HRA); Baloch Campaign; Iran Kargar,Other-New media,1,1641867467
11-Jan-22,2022,Violence against civilians,Attack,Police Forces of Iran (1989-) Islamic Republic of Iran Border Guard Command,,1,Civilians (Iran),Arab Ethnic Group (Iran),7,17,Middle East,Iran,Hoveyzeh,31.462,48.074,Javanehha,New media,1,1643043295
17-Jan-22,2022,Violence against civilians,Attack,Police Forces of Iran (1989-),,1,Civilians (Iran),Baloch Ethnic Group (Iran),7,17,Middle East,Iran,Saravan,27.371,62.331,Baloch Campaign; Javanehha; Iran Kargar,Other-New media,1,1643043295
19-Jan-22,2022,Violence against civilians,Attack,Police Forces of Iran (1989-),,1,Civilians (Iran),Kurdish Ethnic Group (Iran),7,17,Middle East,Iran,Qarah Aghaj,37.219,47.217,Human Rights Activists in Iran (HRA); Hengaw; Kurdistan Human Rights Network,Other-Regional,1,1643657313
19-Jan-22,2022,Violence against civilians,Attack,Police Forces of Iran (1989-),,1,Civilians (Iran),,7,17,Middle East,Iran,Shoabieh,31.971,48.735,Human Rights Activists in Iran (HRA),Other,2,1643657315
23-Jan-22,2022,Violence against civilians,Attack,Police Forces of Iran (1989-),,1,Civilians (Iran),Baloch Ethnic Group (Iran),7,17,Middle East,Iran,Iranshahr,27.202,60.685,Baloch Campaign,Other,3,1643657314
24-Jan-22,2022,Violence against civilians,Attack,Military Forces of Iran (1989-) Basij Force,,1,Civilians (Iran),Baloch Ethnic Group (Iran),7,17,Middle East,Iran,Rasak,26.237,61.399,Baloch Campaign,Other,1,1643657314
28-Jan-22,2022,Violence against civilians,Attack,Police Forces of Iran (1989-),,1,Civilians (Iran),,7,17,Middle East,Iran,Kermanshah,34.314,47.065,Hengaw,Regional,1,1644855392
31-Jan-22,2022,Battles,Armed clash,Police Forces of Iran (1989-),,1,Unidentified Armed Group (Iran),Baloch Ethnic Group (Iran),3,13,Middle East,Iran,Saravan,27.371,62.331,Baloch Campaign,Other,1,1644257057
03-Feb-22,2022,Violence against civilians,Attack,Police Forces of Iran (1989-),,1,Civilians (Iran),Baloch Ethnic Group (Iran),7,17,Middle East,Iran,Suran,27.285,61.996,Baloch Campaign,Other,2,1645466115
05-Feb-22,2022,Violence against civilians,Attack,Military Forces of Iran (1989-) Basij Force,,1,Civilians (Iran),Baloch Ethnic Group (Iran),7,17,Middle East,Iran,Zahedan,29.496,60.863,Baloch Campaign,Other,1,1644855392
15-Feb-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iran),,3,Civilians (Iran),Baloch Ethnic Group (Iran),7,37,Middle East,Iran,Khash,28.221,61.216,Baloch Campaign,Other,4,1645466115
15-Feb-22,2022,Riots,Mob violence,Rioters (Iran),Baloch Ethnic Group (Iran); Sunni Muslim Group (Iran),5,Rioters (Iran),Baloch Ethnic Group (Iran),5,55,Middle East,Iran,Zahedan,29.496,60.863,Baloch Campaign,Other,3,1646058913
01-Jan-22,2022,Battles,Armed clash,Islamic State (Iraq),,2,Military Forces of Iraq (2020-) Popular Mobilization Forces,,1,12,Middle East,Iraq,As Safrah,34.328,44.726,Al Maloomah,National,2,1641840769
01-Jan-22,2022,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),,7,37,Middle East,Iraq,Ar Rumaylah,30.577,47.355,Al Mirbad; Shafaaq News,National,7,1644862842
03-Jan-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Bir ath Thalab,34.108,45.3,Al Maloomah,National,1,1641840769
04-Jan-22,2022,Battles,Armed clash,Islamic State (Iraq),,2,Military Forces of Iraq (2020-) Popular Mobilization Forces,,1,12,Middle East,Iraq,Mosul,36.335,43.119,Al Sumaria TV,National,1,1641840770
06-Jan-22,2022,Violence against civilians,Attack,Unidentified Tribal Militia (Iraq),,4,Civilians (Iraq),Unidentified Tribal Group (Iraq),7,47,Middle East,Iraq,Basrah,30.533,47.798,Al Mirbad,National,1,1641840769
06-Jan-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),KDP: Kurdistan Democratic Party,7,37,Middle East,Iraq,Sinjar,36.295,41.893,Shafaaq News,National,1,1641840771
06-Jan-22,2022,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,4,Unidentified Tribal Militia (Iraq),,4,44,Middle East,Iraq,Karmat Ali,30.569,47.727,Baghdad Today; National Iraqi News Agency,International,1,1642167834
06-Jan-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Military Forces of Iraq (2020-) Popular Mobilization Forces; Kataib Hezbollah (Iraq),7,37,Middle East,Iraq,Baghdad - Al Rashid,33.236,44.343,Al Mirbad; National Iraqi News Agency,International,5,1642167834
06-Jan-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Police Forces of Iraq (2020-) Iraqi National Intelligence Service,7,37,Middle East,Iraq,Najaf,32.026,44.346,Baghdad Today; Al Sumaria TV,International,1,1642167834
07-Jan-22,2022,Violence against civilians,Attack,Islamic State (Iraq),,2,Civilians (Iraq),Farmers (Iraq),7,27,Middle East,Iraq,Qaryat al Kubbah,33.892,44.71,Al Maloomah,National,1,1641840769
07-Jan-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Labour Group (Iraq),7,37,Middle East,Iraq,Basrah,30.533,47.798,Al Mirbad,National,1,1641840769
07-Jan-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Labour Group (Iraq),7,37,Middle East,Iraq,Taq Taq,35.888,44.587,NRT News,National,1,1641840770
08-Jan-22,2022,Battles,Armed clash,Islamic State (Iraq),,2,Military Forces of Iraq (2020-),,1,12,Middle East,Iraq,Abu Baker,34.432,44.513,Al Maloomah,National,1,1642441950
08-Jan-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Sadrist Movement,7,37,Middle East,Iraq,Amara,31.836,47.145,Al Maloomah,National,1,1642441950
08-Jan-22,2022,Battles,Armed clash,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Baghdad,33.325,44.421,Al Mirbad,National,1,1642441950
12-Jan-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Teachers (Iraq),7,37,Middle East,Iraq,Al-Muqdadiya,33.98,44.936,Al Maloomah,National,1,1642441950
12-Jan-22,2022,Explosions/Remote violence,Remote explosive/landmine/IED,Islamic State (Iraq),,2,Military Forces of Iraq (2020-) Popular Mobilization Forces,Saraya Al Khorasani,1,12,Middle East,Iraq,Al Qaim,34.367,41.139,Al Mirbad,National,1,1642441950
12-Jan-22,2022,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Farmers (Iraq),7,37,Middle East,Iraq,As Samawah,31.306,45.28,Al Mirbad,National,1,1642441950
13-Jan-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),,7,37,Middle East,Iraq,Al Gharraf,31.299,46.242,Al Mirbad,National,2,1642441950
16-Jan-22,2022,Violence against civilians,Attack,Islamic State (Iraq),,2,Civilians (Iraq),Fishermen (Iraq),7,27,Middle East,Iraq,Samarra,34.196,43.886,National Iraqi News Agency; Al Sumaria TV,National,4,1643048359
16-Jan-22,2022,Battles,Armed clash,Unidentified Armed Group (Iraq),,3,Military Forces of Iraq (2020-),,1,13,Middle East,Iraq,Baghdad - Karkh,33.316,44.404,Al Mirbad; Al Maloomah,National,1,1643048359
16-Jan-22,2022,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Farmers (Iraq),7,37,Middle East,Iraq,Al Izami,29.504,46.317,Al Mirbad,National,1,1643048359
17-Jan-22,2022,Violence against civilians,Attack,Unidentified Tribal Militia (Iraq),,4,Civilians (Iraq),Unidentified Tribal Group (Iraq),7,47,Middle East,Iraq,Amara,31.836,47.145,Al Mirbad,National,1,1643048359
18-Jan-22,2022,Battles,Armed clash,Islamic State (Iraq),,2,TMF: Tribal Mobilization Forces,,4,24,Middle East,Iraq,Taji,33.529,44.278,Shafaaq News,National,2,1643048359
19-Jan-22,2022,Battles,Armed clash,Military Forces of Iraq (2020-) Popular Mobilization Forces,,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Taji,33.529,44.278,Al Mirbad; Al Sumaria TV,National,3,1643048359
19-Jan-22,2022,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,4,Unidentified Tribal Militia (Iraq),,4,44,Middle East,Iraq,Baghdad - Sadr City,33.391,44.458,Al Sumaria TV,National,1,1643048359
21-Jan-22,2022,Explosions/Remote violence,Air/drone strike,Police Forces of Turkey (2016-) National Intelligence Organization,,8,YBS: Sinjar Resistance Units,Civilians (Iraq),2,28,Middle East,Iraq,Bab ash Shilu,36.334,41.483,Rudaw; Kurdistan24; Mezopotamya Agency; Haber 7,National-Regional,2,1643666838
21-Jan-22,2022,Battles,Armed clash,Islamic State (Iraq),,2,Military Forces of Iraq (2020-),,1,12,Middle East,Iraq,Qaryat Al Qalaa,34.367,45.245,Al Maloomah,National,11,1644862842
22-Jan-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Hatra,35.573,42.734,Al Sumaria TV,National,3,1643666839
23-Jan-22,2022,Battles,Armed clash,Al Mawajid Tribal Militia (Iraq),,4,Albu Ghnam Tribal Militia (Iraq),,4,44,Middle East,Iraq,Kahla,31.648,47.555,Al Mirbad,National,1,1643666839
23-Jan-22,2022,Battles,Armed clash,Unidentified Armed Group (Iraq),,3,Police Forces of Iraq (2020-),,1,13,Middle East,Iraq,Mukeshefah,34.374,43.755,Al Mirbad,National,1,1643666839
23-Jan-22,2022,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,4,Unidentified Tribal Militia (Iraq),,4,44,Middle East,Iraq,Kahla,31.648,47.555,National Iraqi News Agency,National,1,1643666839
24-Jan-22,2022,Battles,Armed clash,Military Forces of Iraq (2020-) Popular Mobilization Forces,Military Forces of Iraq (2020-),1,Islamic State (Iraq),,2,12,Middle East,Iraq,Al Tabi,33.632,44.341,National Iraqi News Agency; Al Sumaria TV; Al Maloomah,National,6,1643666838
24-Jan-22,2022,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,3,Military Forces of Iraq (2020-),,1,13,Middle East,Iraq,Qaryat Albu Shihab,34.899,44.372,Al Mirbad; National Iraqi News Agency,National,3,1643666838
24-Jan-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Makhol Mountain,35.129,43.416,Al Mirbad,National,4,1643666839
24-Jan-22,2022,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,4,Unidentified Tribal Militia (Iraq),,4,44,Middle East,Iraq,Qalat Sukkar,31.863,46.073,Al Mirbad,National,2,1643666839
24-Jan-22,2022,Battles,Armed clash,Unidentified Armed Group (Iraq),,3,Police Forces of Iraq (2020-),,1,13,Middle East,Iraq,Kerbala,32.598,44.016,National Iraqi News Agency,National,1,1643666839
24-Jan-22,2022,Violence against civilians,Attack,Islamic State (Iraq),,2,Civilians (Iraq),Banu Tamim Tribal Group (Iraq),7,27,Middle East,Iraq,Al Hassawiya,33.544,44.622,National Iraqi News Agency; NRT News,National,2,1644862842
25-Jan-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Rashad,35.134,44.088,National Iraqi News Agency; Shafaaq News,National,1,1643666838
25-Jan-22,2022,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,4,Police Forces of Iraq (2020-),,1,14,Middle East,Iraq,Al Daduni,32.699,45.265,Baghdad Today; National Iraqi News Agency; Al Mirbad,National,1,1643666838
25-Jan-22,2022,Battles,Armed clash,Military Forces of Iraq (2020-),Police Forces of Iraq (2020-),1,Islamic State (Iraq),,2,12,Middle East,Iraq,Shay Valley,35.398,44.217,Al Maloomah,National,1,1643666839
25-Jan-22,2022,Battles,Armed clash,Unidentified Armed Group (Iraq),,3,Unidentified Armed Group (Iraq),,3,33,Middle East,Iraq,Hawatam,32.113,44.368,National Iraqi News Agency,National,1,1643666839
25-Jan-22,2022,Battles,Armed clash,Military Forces of Iraq (2020-) Counter-Terrorism Service,Police Forces of Iraq (2020-) Rapid Reaction Force,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Al Azim,34.275,44.538,National Iraqi News Agency,National,5,1644862842
26-Jan-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Hamrin Mountains - Diyala,34.025,45.09,Al Maloomah,National,1,1643666839
26-Jan-22,2022,Battles,Armed clash,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Al Azim,34.275,44.538,Shafaaq News,National,2,1644862843
28-Jan-22,2022,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,4,Unidentified Tribal Militia (Iraq),,4,44,Middle East,Iraq,Baghdad - Sabia Qusor,33.438,44.437,Al Sumaria TV,National,1,1643666839
28-Jan-22,2022,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Farmers (Iraq),7,37,Middle East,Iraq,Hilla,32.464,44.42,National Iraqi News Agency,National,3,1643666839
29-Jan-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Qaryat Shaykh Yunus,36.264,43.037,Al Maloomah; Al Mirbad; Al Sumaria TV; National Iraqi News Agency,National,6,1644261925
29-Jan-22,2022,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),,7,37,Middle East,Iraq,Al Mahmudiyah,33.057,44.353,National Iraqi News Agency; Al Mirbad,National,2,1644261925
29-Jan-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Al Azim,34.275,44.538,Al Maloomah,National,6,1644261925
29-Jan-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Unidentified Armed Group (Iraq),,3,13,Middle East,Iraq,Al Azim,34.275,44.538,Al Mirbad,National,9,1644261925
29-Jan-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Women (Iraq),7,37,Middle East,Iraq,Amara,31.836,47.145,Al Mirbad,National,1,1644261925
30-Jan-22,2022,Battles,Armed clash,Islamic State (Iraq),,2,Police Forces of Iraq (2020-),,1,12,Middle East,Iraq,Nahiyat ar Riyad,35.269,43.911,Baghdad Today; Al Sumaria TV,National,2,1644261925
31-Jan-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),,7,37,Middle East,Iraq,Amara,31.836,47.145,Al Mirbad,National,1,1644261925
31-Jan-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Labour Group (Iraq),7,37,Middle East,Iraq,Amara,31.836,47.145,Al Mirbad,National,1,1644261925
31-Jan-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),,7,37,Middle East,Iraq,Al-Zubair,30.392,47.702,Al Mirbad,National,1,1644261925
31-Jan-22,2022,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,4,Unidentified Tribal Militia (Iraq),,4,44,Middle East,Iraq,Qalat Salih,31.528,47.294,Al Mirbad,National,1,1644261925
01-Feb-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Tikrit,34.616,43.679,Al Mirbad; Shafaaq News; Al Sumaria TV,National,4,1644261925
01-Feb-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,8,Makhmur Protection Units,Civilians (Iraq); Refugees/IDPs (Iraq),3,38,Middle East,Iraq,Makhmur,35.773,43.59,Rudaw; Mezopotamya Agency; Kurdistan24; ANF News,National-Regional,2,1644261925
01-Feb-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,8,PKK: Kurdistan Workers Party,Civilians (Iraq),2,28,Middle East,Iraq,Sinjar,36.295,41.893,Kurdistan24; ANF News; Mezopotamya Agency; Rudaw,National-Regional,3,1644261925
01-Feb-22,2022,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,4,Police Forces of Iraq (2020-),,1,14,Middle East,Iraq,Qalat Salih,31.528,47.294,Al Mirbad; Al Sumaria TV,National,3,1644261925
01-Feb-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Police Forces of Iraq (2020-) Facilities Protection Service,7,37,Middle East,Iraq,Khor al Zubair,30.197,47.885,Al Mirbad,National,1,1644261925
01-Feb-22,2022,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,4,Unidentified Tribal Militia (Iraq),,4,44,Middle East,Iraq,Shatra,31.409,46.173,Al Mirbad,National,1,1644261925
02-Feb-22,2022,Battles,Armed clash,Military Forces of Iraq (2020-),Military Forces of Iraq (2020-) Popular Mobilization Forces; Liwa Ansar al-Marja'iyya,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Hatra,35.573,42.734,Al Sumaria TV; Al Maloomah,National,5,1644261925
02-Feb-22,2022,Battles,Armed clash,Police Forces of Iraq (2020-),Military Forces of Iraq (2020-); Military Forces of Iraq (2020-) Popular Mobilization Forces; Ansar Allah Al Awfiya; Peace Companies,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Mukeshefah,34.374,43.755,Al Maloomah; Al Mirbad,National,1,1644261925
02-Feb-22,2022,Battles,Armed clash,Military Forces of Iraq (2020-) Popular Mobilization Forces,Ansar Allah Al Awfiya; Peace Companies,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Tikrit,34.616,43.679,Al Maloomah,National,2,1644261925
02-Feb-22,2022,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,4,Unidentified Tribal Militia (Iraq),,4,44,Middle East,Iraq,Nassriya,31.058,46.257,Al Mirbad,National,1,1644261925
02-Feb-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Unidentified Armed Group (Iraq),,3,13,Middle East,Iraq,Al Azim,34.275,44.538,Al Mirbad,National,7,1644261925
02-Feb-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Daur,34.456,43.793,National Iraqi News Agency,National,3,1644261925
02-Feb-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Aradi Hawi al Maytah,34.304,44.455,National Iraqi News Agency,National,4,1644261925
02-Feb-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Samarra,34.196,43.886,Shafaaq News,National,4,1644261926
03-Feb-22,2022,Battles,Armed clash,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Aradi Hawi al Maytah,34.304,44.455,Al Maloomah; Al Sumaria TV,National,3,1644261925
03-Feb-22,2022,Battles,Armed clash,Unidentified Tribal Militia (Iraq),,4,Unidentified Tribal Militia (Iraq),,4,44,Middle East,Iraq,Al Azair,31.33,47.42,Al Sumaria TV; Al Mirbad,National,2,1644261925
03-Feb-22,2022,Explosions/Remote violence,Air/drone strike,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Al Azim,34.275,44.538,Al Mirbad,National,3,1644261925
03-Feb-22,2022,Battles,Armed clash,Unidentified Armed Group (Iraq),,3,Police Forces of Iraq (2020-),,1,13,Middle East,Iraq,Amara,31.836,47.145,Al Mirbad,National,1,1644261925
03-Feb-22,2022,Battles,Armed clash,Military Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Tikrit,34.616,43.679,Al Mirbad,National,1,1644261925
03-Feb-22,2022,Battles,Armed clash,Islamic State (Iraq),,2,Police Forces of Iraq (2020-),Military Forces of Iraq (2020-),1,12,Middle East,Iraq,Mutaibijah,34.345,44.467,Al Sumaria TV,National,2,1644261925
03-Feb-22,2022,Violence against civilians,Attack,Unidentified Tribal Militia (Iraq),,4,Civilians (Iraq),Unidentified Tribal Group (Iraq),7,47,Middle East,Iraq,Mosul - Al-Jadeda,36.328,43.101,National Iraqi News Agency,National,1,1644261926
03-Feb-22,2022,Battles,Armed clash,Islamic State (Iraq),,2,Military Forces of Iraq (2020-) Peshmerga,,1,12,Middle East,Iraq,Qarachoq Mountain,35.769,43.63,NRT News,National,1,1644261926
04-Feb-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Labour Group (Iraq),7,37,Middle East,Iraq,Mejar Al-Kabi,31.429,47.204,Al Mirbad,National,1,1644261925
04-Feb-22,2022,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),,7,37,Middle East,Iraq,Nahrawan,33.377,44.703,Al Sumaria TV,National,1,1644261925
04-Feb-22,2022,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,3,Military Forces of Iraq (2020-) Popular Mobilization Forces,Saba al-Dujail,1,13,Middle East,Iraq,Samarra,34.196,43.886,Baghdad Today,National,1,1644261925
04-Feb-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),,7,37,Middle East,Iraq,Dabshiya,35.609,42.619,National Iraqi News Agency,National,1,1644261926
05-Feb-22,2022,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Judges (Iraq),7,37,Middle East,Iraq,Amara,31.836,47.145,Al Mirbad,National,1,1644862842
06-Feb-22,2022,Battles,Armed clash,Islamic State (Iraq),,2,Police Forces of Iraq (2020-),,1,12,Middle East,Iraq,Al Abbarah,33.814,44.658,Al Sumaria TV; National Iraqi News Agency,National,1,1644862842
06-Feb-22,2022,Violence against civilians,Attack,Unidentified Tribal Militia (Iraq),,4,Civilians (Iraq),Unidentified Tribal Group (Iraq),7,47,Middle East,Iraq,Kirkuk,35.468,44.392,National Iraqi News Agency,National,2,1644862842
08-Feb-22,2022,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Iraq),,3,Military Forces of Iraq (2020-),Civilians (Kuwait); Fishermen (Kuwait),1,13,Middle East,Iraq,Rawah,34.469,41.916,Shafaaq News; Al Mirbad; Al Maloomah,National,2,1644862842
